0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,2,0
14,2,0
15,2,0
16,2,0
17,2,0
18,2,0
19,2,0
20,2,0
21,2,0
22,2,0
23,2,0
24,2,0
25,2,0
26,2,0
27,2,0
28,2,0
29,2,0
30,2,0
31,2,0
32,2,0
33,2,0
34,2,0
35,2,0
36,2,0
37,2,0
38,2,0
39,2,0
40,2,0
41,2,0
42,2,0
43,2,0
44,2,0
45,2,0
46,2,0
47,2,0
48,2,0
49,2,0
50,2,0
51,2,0
52,2,0
53,2,0
54,2,0
55,2,0
56,2,0
57,2,0
58,2,0
59,2,0
60,2,0
61,2,0
62,2,0
63,2,0
64,2,0
65,2,0
66,2,0
67,2,0
68,2,0
69,2,0
70,2,0
71,2,0
72,2,0
73,2,0
74,2,0
75,2,0
76,2,0
77,2,0
78,2,0
79,2,0
80,2,0
81,2,0
82,2,0
83,2,0
84,2,0
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,0
30,3,0
31,3,0
32,3,0
33,3,0
34,3,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
40,3,0
41,3,0
42,3,0
43,3,0
44,3,0
45,3,0
46,3,0
47,3,0
48,3,0
49,3,0
50,3,0
51,3,0
52,3,0
53,3,0
54,3,0
55,3,0
56,3,0
57,3,0
58,3,0
59,3,0
60,3,0
61,3,0
62,3,0
63,3,0
64,3,0
65,3,0
66,3,0
67,3,0
68,3,0
69,3,0
70,3,0
71,3,0
72,3,0
73,3,0
74,3,0
75,3,0
76,3,0
77,3,0
78,3,0
79,3,0
80,3,0
81,3,0
82,3,0
83,3,0
84,3,0
0,4,0
1,4,0
2,4,0
3,4,255
4,4,255
5,4,255
6,4,255
7,4,255
8,4,255
9,4,255
10,4,255
11,4,255
12,4,255
13,4,255
14,4,255
15,4,255
16,4,255
17,4,255
18,4,255
19,4,255
20,4,255
21,4,255
22,4,255
23,4,255
24,4,255
25,4,255
26,4,255
27,4,255
28,4,255
29,4,255
30,4,255
31,4,255
32,4,255
33,4,255
34,4,255
35,4,255
36,4,255
37,4,255
38,4,255
39,4,255
40,4,255
41,4,255
42,4,255
43,4,255
44,4,255
45,4,0
46,4,0
47,4,255
48,4,255
49,4,255
50,4,255
51,4,255
52,4,255
53,4,255
54,4,255
55,4,255
56,4,255
57,4,255
58,4,255
59,4,255
60,4,255
61,4,255
62,4,255
63,4,255
64,4,0
65,4,0
66,4,255
67,4,255
68,4,255
69,4,255
70,4,255
71,4,255
72,4,255
73,4,255
74,4,255
75,4,255
76,4,255
77,4,255
78,4,255
79,4,255
80,4,255
81,4,255
82,4,0
83,4,0
84,4,0
0,5,0
1,5,0
2,5,0
3,5,255
4,5,255
5,5,255
6,5,255
7,5,255
8,5,255
9,5,255
10,5,255
11,5,255
12,5,255
13,5,255
14,5,255
15,5,255
16,5,255
17,5,255
18,5,255
19,5,255
20,5,255
21,5,255
22,5,255
23,5,255
24,5,255
25,5,255
26,5,255
27,5,255
28,5,255
29,5,255
30,5,255
31,5,255
32,5,255
33,5,255
34,5,255
35,5,255
36,5,255
37,5,255
38,5,255
39,5,255
40,5,255
41,5,255
42,5,255
43,5,255
44,5,255
45,5,0
46,5,0
47,5,255
48,5,255
49,5,255
50,5,255
51,5,255
52,5,255
53,5,255
54,5,255
55,5,255
56,5,255
57,5,255
58,5,255
59,5,255
60,5,255
61,5,255
62,5,255
63,5,255
64,5,0
65,5,0
66,5,255
67,5,255
68,5,255
69,5,255
70,5,255
71,5,255
72,5,255
73,5,255
74,5,255
75,5,255
76,5,255
77,5,255
78,5,255
79,5,255
80,5,255
81,5,255
82,5,0
83,5,0
84,5,0
0,6,0
1,6,0
2,6,0
3,6,255
4,6,255
5,6,255
6,6,255
7,6,255
8,6,255
9,6,255
10,6,255
11,6,255
12,6,255
13,6,255
14,6,255
15,6,255
16,6,255
17,6,255
18,6,255
19,6,255
20,6,255
21,6,255
22,6,255
23,6,255
24,6,255
25,6,255
26,6,255
27,6,255
28,6,255
29,6,255
30,6,255
31,6,255
32,6,255
33,6,255
34,6,255
35,6,255
36,6,255
37,6,255
38,6,255
39,6,255
40,6,255
41,6,255
42,6,255
43,6,255
44,6,255
45,6,0
46,6,0
47,6,255
48,6,255
49,6,255
50,6,255
51,6,255
52,6,255
53,6,255
54,6,255
55,6,255
56,6,255
57,6,255
58,6,255
59,6,255
60,6,255
61,6,255
62,6,255
